"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14516","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:25:09 UTC 2026","passed","Sun Mar 15 10:25:23 UTC 2026","TestProductPage","Страница товара","",""
"","2856","Переход на страницу создания аккаунта","tests","Sun Mar 15 10:23:26 UTC 2026","passed","Sun Mar 15 10:23:29 UTC 2026","TestLoginPage","Страница логина","",""
"","2750","Переход на главную страницу со страницы авторизации","tests","Sun Mar 15 10:23:12 UTC 2026","passed","Sun Mar 15 10:23:14 UTC 2026","TestLoginPage","Страница логина","",""
"","1815","Удаленный товар не должен отображаться в списке товаров","tests","Sun Mar 15 10:23:59 UTC 2026","passed","Sun Mar 15 10:24:01 UTC 2026","TestCartPage","Корзина","",""
"","2273","Выйти из аккаунта","tests","Sun Mar 15 10:23:53 UTC 2026","passed","Sun Mar 15 10:23:55 UTC 2026","TestMainPage","Главная страница","",""
"","4593","Поиск товара на главной странице","tests","Sun Mar 15 10:23:27 UTC 2026","passed","Sun Mar 15 10:23:31 UTC 2026","TestMainPage","Главная страница","",""
"","2247","Переход на страницу логина со страницы создания аккаунта","tests","Sun Mar 15 10:23:40 UTC 2026","passed","Sun Mar 15 10:23:42 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","2785","Переход на главную страницу со страницы создания аккаунта","tests","Sun Mar 15 10:23:36 UTC 2026","passed","Sun Mar 15 10:23:38 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","49623","Наименование товара в корзине меняется в соответствии с опциями","tests","Sun Mar 15 10:26:27 UTC 2026","passed","Sun Mar 15 10:27:17 UTC 2026","TestProductPage","Страница товара","",""
"","3016","Переход на страницу логина из корзины","tests","Sun Mar 15 10:23:53 UTC 2026","passed","Sun Mar 15 10:23:56 UTC 2026","TestCartPage","Корзина","",""
"","5358","Поиск товара на главной странице","tests","Sun Mar 15 10:23:12 UTC 2026","passed","Sun Mar 15 10:23:17 UTC 2026","TestMainPage","Главная страница","",""
"","13973","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:24:05 UTC 2026","passed","Sun Mar 15 10:24:19 UTC 2026","TestProductPage","Страница товара","",""
"","3208","Добавление товара в корзину","tests","Sun Mar 15 10:23:59 UTC 2026","passed","Sun Mar 15 10:24:02 UTC 2026","TestProductPage","Страница товара","",""
"","5363","Авторизация пользователя","tests","Sun Mar 15 10:23:29 UTC 2026","passed","Sun Mar 15 10:23:35 UTC 2026","TestLoginPage","Страница логина","",""
"","5187","Нельзя создать аккаунт, если email уже занят","tests","Sun Mar 15 10:23:33 UTC 2026","passed","Sun Mar 15 10:23:38 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","124","Проверка полной информации о товаре на странице","tests","Sun Mar 15 10:24:44 UTC 2026","passed","Sun Mar 15 10:24:44 UTC 2026","TestProductPage","Страница товара","",""
"","16154","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:25:14 UTC 2026","passed","Sun Mar 15 10:25:30 UTC 2026","TestProductPage","Страница товара","",""
"","16162","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:25:21 UTC 2026","passed","Sun Mar 15 10:25:37 UTC 2026","TestProductPage","Страница товара","",""
"","1866","Если корзина пуста, пользователь увидит сообщение","tests","Sun Mar 15 10:24:02 UTC 2026","passed","Sun Mar 15 10:24:04 UTC 2026","TestCartPage","Корзина","",""
"","5211","Поиск товара на главной странице","tests","Sun Mar 15 10:23:27 UTC 2026","passed","Sun Mar 15 10:23:32 UTC 2026","TestMainPage","Главная страница","",""
"","2498","Перейти в аккаунт","tests","Sun Mar 15 10:23:42 UTC 2026","passed","Sun Mar 15 10:23:44 UTC 2026","TestMainPage","Главная страница","",""
"","818","Итоговая стоимость нескольких товаров без комиссии должна быть корректной","tests","Sun Mar 15 10:24:45 UTC 2026","passed","Sun Mar 15 10:24:45 UTC 2026","TestCartPage","Корзина","",""
"","12766","Создание аккаунта","tests","Sun Mar 15 10:23:12 UTC 2026","passed","Sun Mar 15 10:23:24 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","48065","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:25:37 UTC 2026","skipped","Sun Mar 15 10:26:25 UTC 2026","TestProductPage","Страница товара","",""
"","8601","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:24:54 UTC 2026","passed","Sun Mar 15 10:25:03 UTC 2026","TestProductPage","Страница товара","",""
"","1974","Проверка плэйсхолдеров формы регистрации","tests","Sun Mar 15 10:23:37 UTC 2026","passed","Sun Mar 15 10:23:39 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","728","Комиссия (налог) на один товар должна составлять 15 процентов от общей стоимости","tests","Sun Mar 15 10:23:41 UTC 2026","passed","Sun Mar 15 10:23:42 UTC 2026","TestCartPage","Корзина","",""
"","2457","Переход на главную страницу из корзины","tests","Sun Mar 15 10:23:56 UTC 2026","passed","Sun Mar 15 10:23:59 UTC 2026","TestCartPage","Корзина","",""
"","8668","Количество единиц товара и итоговая стоимость в модалке корректные","tests","Sun Mar 15 10:25:06 UTC 2026","passed","Sun Mar 15 10:25:15 UTC 2026","TestProductPage","Страница товара","",""
"","6851","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:24:27 UTC 2026","passed","Sun Mar 15 10:24:33 UTC 2026","TestProductPage","Страница товара","",""
"","48050","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:25:41 UTC 2026","skipped","Sun Mar 15 10:26:29 UTC 2026","TestProductPage","Страница товара","",""
"","32936","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:25:28 UTC 2026","skipped","Sun Mar 15 10:26:01 UTC 2026","TestProductPage","Страница товара","",""
"","4955","Нельзя создать аккаунт, если пароли в инпутах Password и Confirm Password не идентичны","tests","Sun Mar 15 10:23:32 UTC 2026","passed","Sun Mar 15 10:23:37 UTC 2026","TestCreateAccountPage","Страница создания аккаунта","",""
"","3744","Нельзя авторизоваться, незарегистрированным пользователем","tests","Sun Mar 15 10:23:12 UTC 2026","passed","Sun Mar 15 10:23:15 UTC 2026","TestLoginPage","Страница логина","",""
"","3433","Переход на страницу логина с главной","tests","Sun Mar 15 10:23:25 UTC 2026","passed","Sun Mar 15 10:23:28 UTC 2026","TestMainPage","Главная страница","",""
"","32953","Наименование товара в модалке меняется в соответствии с опциями","tests","Sun Mar 15 10:25:35 UTC 2026","skipped","Sun Mar 15 10:26:08 UTC 2026","TestProductPage","Страница товара","",""
"","7909","Добавление в корзину нескольких единиц одного товара","tests","Sun Mar 15 10:25:03 UTC 2026","passed","Sun Mar 15 10:25:11 UTC 2026","TestProductPage","Страница товара","",""
"","9003","Поиск товара на главной странице","tests","Sun Mar 15 10:23:18 UTC 2026","skipped","Sun Mar 15 10:23:27 UTC 2026","TestMainPage","Главная страница","",""
"","6099","Переход на страницу корзины со страницы авторизации","tests","Sun Mar 15 10:23:18 UTC 2026","passed","Sun Mar 15 10:23:24 UTC 2026","TestLoginPage","Страница логина","",""
"","34974","Наименование товара в корзине меняется в соответствии с опциями","tests","Sun Mar 15 10:25:57 UTC 2026","passed","Sun Mar 15 10:26:32 UTC 2026","TestProductPage","Страница товара","",""
"","1213","Итоговая стоимость одного товара с учетом комиссии должна быть корректной","tests","Sun Mar 15 10:23:51 UTC 2026","passed","Sun Mar 15 10:23:52 UTC 2026","TestCartPage","Корзина","",""
